"","lambda","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"14",0.7,2005,0,0.219316548049104,0,0,0.810476452956575,0,NA,15.5628092240057,NA,NA,7.8863593741152,NA,253,0,84,0,1536
"15",0.75,2005,0,0.21923389457864,0,0,0.812487196784875,0,NA,14.9719480058077,NA,NA,7.68720693515379,NA,253,0,84,0,1536
"16",0.8,2005,0,0.219257224157834,0,0,0.81483117845912,0,NA,14.4564924998689,NA,NA,7.52755497316254,NA,253,0,84,0,1536
"17",0.85,2005,0,0.219367247321213,0,0,0.817442629683508,0,NA,14.0139643366935,NA,NA,7.40480073109609,NA,253,0,84,0,1536
"18",0.9,2005,0,0.219547111145234,0,0,0.820263173224492,0,NA,13.6405496827322,NA,NA,7.31589639583635,NA,253,0,84,0,1536
"19",0.95,2005,0,0.21978225405501,0,0,0.823241693438953,0,NA,13.3314443055339,NA,NA,7.25751990680503,NA,253,0,84,0,1536
"20",0.05,2006,0,0.428054996825266,0,0,2.03886259228462,0,NA,29.3524705565522,NA,NA,14.2676345382542,NA,310,0,106,0,1916
"21",0.1,2006,0,0.417418092960715,0,0,1.9513428944451,0,NA,28.4741692682197,NA,NA,13.3224725614494,NA,310,0,106,0,1916
"22",0.15,2006,0,0.406549329043994,0,0,1.86757972950994,0,NA,27.6019600262294,NA,NA,12.4795043078355,NA,310,0,106,0,1916
"23",0.2,2006,0,0.395529947703205,0,0,1.78738120249458,0,NA,26.7274443234695,NA,NA,11.7214396283111,NA,310,0,106,0,1916
"24",0.25,2006,0,0.384449135184077,0,0,1.71071363730588,0,NA,25.8439322772058,NA,NA,11.0348251177801,NA,310,0,106,0,1916
"25",0.3,2006,0,0.373402895539536,0,0,1.63765645010083,0,NA,24.9467643231294,NA,NA,10.4095569448348,NA,310,0,106,0,1916
"26",0.35,2006,0,0.362491148363083,0,0,1.5683571982824,0,NA,24.0335792181934,NA,NA,9.83842875662494,NA,310,0,106,0,1916
"27",0.4,2006,0,0.351813631838417,0,0,1.50298979740557,0,NA,23.1044918583715,NA,NA,9.31667666068508,NA,310,0,106,0,1916
"28",0.45,2006,0,0.341465290993947,0,0,1.44171872433391,0,NA,22.16214731608,NA,NA,8.84150516759493,NA,310,0,106,0,1916
"29",0.5,2006,0,0.331531830981546,0,0,1.38467132203358,0,NA,21.2116271236654,NA,NA,8.41159568661939,NA,310,0,106,0,1916
"30",0.55,2006,0,0.322086012122649,0,0,1.33191926646905,0,NA,20.2601990708623,NA,NA,8.02661156311828,NA,310,0,106,0,1916
"31",0.6,2006,0,0.313185080726222,0,0,1.2834691106722,0,NA,19.3169199169363,NA,NA,7.68672106254119,NA,310,0,106,0,1916
"32",0.65,2006,0,0.304869510123353,0,0,1.2392608357419,0,NA,18.3921177242271,NA,NA,7.39216331108299,NA,310,0,106,0,1916
"33",0.7,2006,0,0.297163017293657,0,0,1.19917268017672,0,NA,17.4967934299467,NA,NA,7.14288294443012,NA,310,0,106,0,1916
"34",0.75,2006,0,0.290073659202358,0,0,1.16303024214088,0,NA,16.6419875846055,NA,NA,6.93825699509333,NA,310,0,106,0,1916
"35",0.8,2006,0,0.283595718452415,0,0,1.13061791051919,0,NA,15.8381578225819,NA,NA,6.77693132764546,NA,310,0,106,0,1916
"36",0.85,2006,0,0.277712059980084,0,0,1.10169097778248,0,NA,15.0946075532358,NA,NA,6.6567729441332,NA,310,0,106,0,1916
"37",0.9,2006,0,0.272396665401678,0,0,1.07598720324362,0,NA,14.4189995655145,NA,NA,6.5749298131166,NA,310,0,106,0,1916
"38",0.95,2006,0,0.267617109154285,0,0,1.05323702847834,0,NA,13.8169821967359,NA,NA,6.52797503090345,NA,310,0,106,0,1916
"39",0.05,2007,0,0.579153569013261,0,0,3.44174122195357,0,NA,28.0377707655494,NA,NA,17.8541474914574,NA,361,0,137,0,2326
"40",0.1,2007,0,0.570392197276202,0,0,3.33675302499333,0,NA,27.0676719503903,NA,NA,16.7349178247702,NA,361,0,137,0,2326
"41",0.15,2007,0,0.560506962944144,0,0,3.22185746588254,0,NA,26.1401486321343,NA,NA,15.6454202567941,NA,361,0,137,0,2326
"42",0.2,2007,0,0.54948448026793,0,0,3.09862943799882,0,NA,25.249046862997,NA,NA,14.5918093375714,NA,361,0,137,0,2326
"43",0.25,2007,0,0.537338417680868,0,0,2.96873159444481,0,NA,24.3878479545508,NA,NA,13.5800716443082,NA,361,0,137,0,2326
"44",0.3,2007,0,0.524115930049706,0,0,2.83394067459535,0,NA,23.5499341536588,NA,NA,12.6160884152174,NA,361,0,137,0,2326
"45",0.35,2007,0,0.509902922171311,0,0,2.69614527788415,0,NA,22.7288905739816,NA,NA,11.7056159626407,NA,361,0,137,0,2326
"46",0.4,2007,0,0.494826654025147,0,0,2.55730983733426,0,NA,21.9188387639974,NA,NA,10.8541853081302,NA,361,0,137,0,2326
"47",0.45,2007,0,0.479054512977229,0,0,2.41940813845772,0,NA,21.1147923201903,NA,NA,10.0669416859196,NA,361,0,137,0,2326
"48",0.5,2007,0,0.462788384757917,0,0,2.2843370637919,0,NA,20.3130175769197,NA,NA,9.34845028409848,NA,361,0,137,0,2326
"49",0.55,2007,0,0.446254862611105,0,0,2.15382557672707,0,NA,19.5113739981744,NA,NA,8.70248908479799,NA,361,0,137,0,2326
"50",0.6,2007,0,0.429692359738001,0,0,2.02935434351422,0,NA,18.7096014395498,NA,NA,8.13183942631368,NA,361,0,137,0,2326
"51",0.65,2007,0,0.413336813433247,0,0,1.91209809055207,0,NA,17.9095172237007,NA,NA,7.63807872620898,NA,361,0,137,0,2326
"52",0.7,2007,0,0.397407915253472,0,0,1.80289715913364,0,NA,17.1150869802761,NA,NA,7.22138469635002,NA,361,0,137,0,2326
